Title,Reference Number,Location,Closing Date,Remuneration,Duties,Enquiries,Minimum Educational Qualification,Employment Type
Medical Specialist Grade 1 to 3 (Contract until 31 March 2028),"ECSS134/2025 Forensic Pathology Service, Forensic Medicine, Stellenbosch University","Forensic Pathology Service, Forensic Medicine, Stellenbosch University",1/9/2026,Grade 1: R 1 341 855 per annum; Grade 2: R 1 531 032 per annum; Grade 3: R 1 773 222 per annum A portion of the package can be structured according to the individual's personal needs.,"Provide full-time medico-legal death investigative service within the Division of Forensic Medicine by performance of and supervising post-mortems of natural and unnatural deaths. Provide full-time medico-legal death investigative service within the Division of Forensic Medicine by compiling and completing reports, including all ancillary investigations and editing reports of junior staff members. Expert testimony in court as well as expert opinion on inquest dockets or the relevant cases as requested by the Department of Justice. Academic teaching and Training, Research, Clinical governance and quality assurance. Support to the Head: Clinical Unit with all administrative functions of the Division.",Dr Janette Verster- jverster@sun.ac.za,Appropriate qualification that allow registration with the Health Professions Council of South Africa (HPCSA) as a Medical Specialist in Forensic Pathology.,"Contract Reference No: ECSS134/2025 Forensic Pathology Service, Forensic Medicine, Stellenbosch University"
Pharmacist Assistant (Post-Basic) Grade1 to 3 (2 Posts),"WCD179/2025 Vredenburg Hospital, Saldanha Bay Sub-district","Vredenburg Hospital, Saldanha Bay Sub-district",1/9/2026,"Grade 1: R 264 750 - R 298 482 per annum, Grade 2: R 306 411 - R 324 117 per annum, Grade 3: R 330 540 - R 375 381 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).",Effective control of Pharmaceutical stock. Ensure effective Pharmaceutical Care (Dispensing) including the Chronic Dispensing Unit within the Sub District. Assist with collection of Pharmacy Data and recordkeeping. Promote and assist with optimal Pharmaceutical Advisory Service with the relevant multi-disciplinary teams. Ensure effective Quality of Health Service.,Ms. E Julius - 022 709 7237,"A qualification that allows registration with the SAPC as a Pharmacist Assistant (Post Basic) Institutional or Pharmacist Assistant (Post Basic, as required by the training facility and the South African Pharmacy Council (SAPC).","Permanent Reference No: WCD179/2025 Vredenburg Hospital, Saldanha Bay Sub-district"
Pharmacist’s Assistant (Post-Basic) Grade 1 to 3 (2 posts),"RHS178/2025 George Regional Hospital, Chief Directorate: Rural Health Services","George Regional Hospital, Chief Directorate: Rural Health Services",1/9/2026,"Grade 1: R 264 750 per annum; Grade 2: R 306 411 per annum; Grade 3: R 330 540 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Providing a safe, efficient, cost-effective fully comprehensive pharmaceutical service delivery according to legislation and scope of practice, under direct or indirect supervision. Ensuring customer centered focus, with provision of health/product information advice and effective rational usage and storage of all medication. Providing effective medicine supply management, administration and documentation (receiving, storage, control, distribution, operations relating to pharmaceuticals) including cold chain management in all areas related to pharmacy services and the greater hospital complex, where medications are kept. Compliance with National and Provincial Health policies and guidelines, legislative requirements, National regulatory Frameworks, Good Pharmacy Practice guidelines and institutional requirements, including waste management practices and remaining constantly updated with changes and development. Represent the hospital pharmacy service profession, driven by Western Cape Government values culture, in performing duties to ensure adherence and compliance of self and co-workers, to minimum standards for accessibility and pharmaceutical services, while maintaining rational use of all hospital resources Actively participate in and represent pharmacy on meetings or in multidisciplinary teams, which may include, but not limited to Occupational Health and Safety, Infection Prevention and Control, Cold chain and temperature management.","Ms. SN Brits, tel. no. (044) 802 4492",As required by the training facility and the South African Pharmacy Council (SAPC) plus Post-Basic Pharmacist Assistant qualification that allows registration with SAPC as a Pharmacist Assistant (Post-Basic) or Pharmacist Assistant (Post-Basic) Institutional.,"Permanent Reference No: RHS178/2025 George Regional Hospital, Chief Directorate: Rural Health Services"
Operational Manager Nursing (General Unit: Male Ward),CWD198/2025 Robertson Hospital,Robertson Hospital,1/9/2026,"Grade 1: R 549 192 - 629 121 per annum (Plus a 8% rural allowance of your annual basic salary) Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Effective management of nursing care, which includes effective utilization of human, financial and physical resources in the male ward. Ensure quality nursing care throughout the hospital through participation in the analysis, formulation and implementation of nursing guidelines, practices standards and procedures. Provision of effective support and standby duty for Nursing Management. Implement and oversee effective processes and practices regarding all statistical information needed to render a quality health service. Supervise, plan and implement the provision of effective and efficient infection control measures. Maintain and participate in inter-professional and multi-disciplinary teamwork.","Mrs. SM Kortje, tel. no. (023)626-8548","Basic R425 qualification (i.e., diploma/degree in nursing) or equivalent qualification that allows registration with the South African Nursing Council (SANC) as Professional Nurse and Midwife.",Permanent Reference No: CWD198/2025 Robertson Hospital
Staff Nurse Grade 1 to 3,"GRD206/2025 Conville CDC, George Sub District, Garden Route District","Conville CDC, George Sub District, Garden Route District",1/9/2026,"Grade 1: R 220 614 per annum; Grade 2: R 262 287 per annum; Grade 3: R 306 798 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).",Development and implementation of basic patient care plans. Provide basic clinical nursing care. Effective utilization of resources. Maintain professional growth/ethical standards and self- development. Take actions to improve quality of nursing care. Participate in infection prevention and control.,"Ms M Marthinus , Tel. nr: (044) 814 -1100.",Qualification that allows registration with the SANC as a Staff Nurse.,"Permanent Reference No: GRD206/2025 Conville CDC, George Sub District, Garden Route District"
Registrar (Medical) (4-year contract),"ECSS132/2025 Forensic Pathology Services; Forensic Medicine, Stellenbosch University","Forensic Pathology Services; Forensic Medicine, Stellenbosch University",1/9/2026,R 1 001 349 per annum - R 1 046 763 per annum A portion of the package can be structured according to the individual's personal needs.,"To render effective and efficient forensic autopsy service. To render effective and efficient forensic pathology case follow up service. Effective administration and medico-legal duties. Effective and efficient management of service area. Effective delivery of training, teaching and operational research, conforming to academic responsibilities.",Dr Janette Verster- jverster@sun.ac.za,Appropriate qualification that allows registration with the Health Professions Council of South Africa (HPCSA) as an Independent Medical Practitioner.,"Contract Reference No: ECSS132/2025 Forensic Pathology Services; Forensic Medicine, Stellenbosch University"
Medical Specialist Grade 1 to 3 (Paediatric Surgery) (6 months contract),RXH87/2025 Red Cross War Memorial Children’s Hospital,Red Cross War Memorial Children’s Hospital,1/9/2026,"Grade 1: R 1 341 855 - R 1 422 810 per annum, Grade 2: R 1 531 032 - R 1 623 609, Grade 3: R 1 773 222 - R 2 212 680 per annum A portion of the package can be structured according to the individual's personal needs.","Provide full time paediatric surgery specialist care including Outpatient, Inpatient, Emergency and Afterhours service as a specialist paediatric surgeon. Including, but are not limited to General Paediatric surgery at a tertiary service level including colorectal, GIT, oncology and hepatobiliary surgery at a junior consultant level and paediatric burns and trauma service. Provide support to HCU Paediatric Surgery. Administrative duties, including quality, efficiency and outcome improvements. Participation in human resource management. Clinical audit, data management, monitoring and evaluation and clinical governance. Participation in all academic activities of the department, research, and teaching and training of under- and post-graduate students and other health personnel.",Prof Sharon Cox Tel no: (021) 685 5012 Email: Sharon.Cox@uct.ac.za,Appropriate qualification that allows registration with the Health Professions Council of South Africa (HPCSA) as a Medical Specialist in Paediatric Surgery.,Contract Reference No: RXH87/2025 Red Cross War Memorial Children’s Hospital
Professional Nurse Grade 1 to 3 (General: Integrated School Health Program),"GRD203/2025 PHC Support & Outreach, George Sub-District, Garden Route District","PHC Support & Outreach, George Sub-District, Garden Route District",1/9/2026,"Grade 1: R 324 384 per annum; Grade 2: R 396 132 per annum; Grade 3: R 476 367 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Provide clinical school health services within the George Sub District to learners with parental consent in schools, i.e. health assessment, immunisation & deworming. Participate in campaigns. Support the CCW and the teacher as part of the team within the school environment as well as the professional nurse in special schools. Support the PHC facility with the rendering of a youth friendly service after school hours and in school holidays. Monitor referrals and link with community structures. Monitor and Evaluate the Program, data management and reporting.","Ms M F J Marthinus, tel. no. (044) 814 - 1100",Basic R425 qualification (i.e. diploma/degree in nursing) or equivalent qualification that allows registration with the South African Nursing Council (SANC) as a Professional Nurse and Midwife.,"Permanent Reference No: GRD203/2025 PHC Support & Outreach, George Sub-District, Garden Route District"
Chief Diagnostic Radiographer Grade 1 (Trauma),RXH85/2025 Red Cross War Memorial Children’s Hospital,Red Cross War Memorial Children’s Hospital,1/9/2026,"Grade 1: R 575 250 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Manage the radiographic service in the Trauma Unit. Manage and perform general radiography, fluoroscopy, mobile radiography, theatre and Lodox. Perform advanced CT imaging as required by the department. Perform MRI independently. Training- Be responsible for staff and student teaching and training. People Management - Manage radiography and support personnel, this includes doing their performance appraisals. Care of Equipment- Ensure quality assurance in the department (all modalities) and the use of suitable radiation protection. Engage with vendors with regards to the maintenance of equipment of all modalities. Provide statistics and report on daily activities and equipment status.",Mrs C. Pietersen (021) 658 5104,Appropriate qualification that allows registration with the Health Professions Council of South Africa (HPCSA) in Diagnostic Radiography.,Permanent Reference No: RXH85/2025 Red Cross War Memorial Children’s Hospital
Chief Diagnostic Radiographer: Grade 1 (MRI),RXH86/2025 Red Cross War Memorial Children’s Hospital,Red Cross War Memorial Children’s Hospital,1/9/2026,"Grade 1: R 575 250 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Manage the radiographic service in the MRI Unit Perform MRI independently. Perform advanced CT imaging as required by the department. Manage and perform general radiography, fluoroscopy, mobile radiography, theatre and Lodox. Training- Be responsible for staff and student teaching and training. People Management - Manage radiography and support personnel, this includes doing their performance appraisals. Participate in the management of the Radiography cost centre. Participate in middle management and delegated management tasks. Care of Equipment- Ensure quality assurance in the department (all modalities) and the use of suitable radiation protection. Engage with vendors with regards to the maintenance of equipment of all modalities.",Mrs C. Pietersen (021) 658 5104,Appropriate qualification that allows registration with the Health Professions Council of South Africa (HPCSA) in Diagnostic Radiography.,Permanent Reference No: RXH86/2025 Red Cross War Memorial Children’s Hospital
Laboratory Assistant (Dental Mechanics),"MHS840/2025 Oral Health Centre, Tygerberg/Mitchell’s Plain, Chief Directorate: Metro Health Services","Oral Health Centre, Tygerberg/Mitchell’s Plain, Chief Directorate: Metro Health Services",1/9/2026,"R 193 359 per annum - R 227 766 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Provide effective support service in the Dental Laboratory. Provide a support service to dental technicians for eg. invest and pack dentures, Pouring and trimming of models and articulate working models. Assist Dental Technicians in handling materials, equipment and errands pertaining to their scope of practice. Provide support within the dental laboratory stores. Basic maintenance of laboratory equipment. Provide basic administrative support and keep proper statistics of work done in input and output registers.",Mr MV Adams (021) 937 3068 or mvadams@uwc.ac.za,Senior Certificate (or equivalent).,"Permanent Reference No: MHS840/2025 Oral Health Centre, Tygerberg/Mitchell’s Plain, Chief Directorate: Metro Health Services"
Operator: Tube Feed (Infant Milk Kitchen) (2 Posts),GSH355/2025 Groote Schuur Hospital,Groote Schuur Hospital,1/9/2026,"R 163,680 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).",Production and distribution of infant formula. Processing of human milk including pasteurisation. Maintain optimal hygiene standards in the milk kitchen and store area. Basic stock taking and stock control. Perform basic administrative tasks as required within the department.,"Ms A Du Toit, Tel no, (021) 404 4471.",General Education and Training certificate (GETC) /Grade 9 (Std 7).,Permanent Reference No: GSH355/2025 Groote Schuur Hospital
Administrative Officer: Human Resource Management,CWD213/2025 Stellenbosch Hospital,Stellenbosch Hospital,1/9/2026,"R 325,101 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Administer and ensure effective and efficient implementation of HRM policies, prescripts, approval of PERSAL transactions with regards to Personnel provisioning, Personnel and Salary administration. Supervise Administration Clerks to ensure effective functioning of the Human Resource Section. Administer and ensure effective and efficient implementation to appointments, service terminations, salary administration and general service conditions, audit of leave and personnel files, debt management, pension administration and management of pay sheets, administration of OSD and Grade Progression, performance management and relevant reports. Administer and maintain an effective and efficient Recruitment and Selection service. Administer and maintain an effective and efficient Human Resource Development service. Provide an effective support function to management and personnel.",Mr C Modisie tel. no (021) 808-6178,Senior Certificate (or equivalent).,Permanent Reference No: CWD213/2025 Stellenbosch Hospital
Professional Nurse Grade 1 to 3 (General Ward),MHS818/2025 Karl Bremer Hospital,Karl Bremer Hospital,1/9/2026,"Grade 1: R 324,384 per annum, Grade 2: R 396,132 per annum, Grade 3: R 476,367 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Provision of optimal, holistic nursing care with set standards and within a professional/legal framework. Effective utilisation of resources. Maintain professional growth/ethical standards and self-development. Provision of Support to Nursing Services. Participation in training and research.","Mrs. E Linden-Mars, tel. no. (021) 918 1224",Basic R425 qualification i.e. diploma/degree in nursing or equivalent qualification that allows registration with the South African Nursing Council (SANC) as a Professional Nurse (or equivalent qualification that allows registration with the SANC as Professional Nurse.,Permanent Reference No: MHS818/2025 Karl Bremer Hospital
Staff Nurse Grade 1 to 3 (2 posts),CWD212/2025 Cape Winelands TB Centre,Cape Winelands TB Centre,1/9/2026,"Grade 1: R 220,614 per annum, Grade 2: R 262,287 per annum, Grade 3: R 306,798 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).",Development and implementation of basic patient care to all patients. Provide basic clinical nursing care. Effective utilization of resources. Maintain professional growth/ethical standards and self-development.,"Ms R Van Rooyen, tel. no. (023) 348 -1309",Qualification that allows registration with the SANC as a Staff Nurse.,Permanent Reference No: CWD212/2025 Cape Winelands TB Centre
Operational Manager Nursing (Specialty Unit: Paediatrics),"MHS837/2025 Khayelitsha District Hospital, Khayelitsha Eastern Sub-structure","Khayelitsha District Hospital, Khayelitsha Eastern Sub-structure",1/9/2026,"R 693 096 - R 789 861 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Ensure that clinical nursing practice rendered by the nursing team and promote quality of nursing care as directed by the professional scope of practice and standards. Effectively managed and co -ordinated nursing care within a Paediatric setting with set standards and within a legal /Professional framework. Effectively manage and co-ordinate the provision of clinical nursing care for the area. Manage and facilitate both human and financial resources/aspects. Effectively utilized and supervised resources. Support effective practice development, education, and research activities/resources. Effectively delivered support service and management of human, material and financial resources to the Nursing Division. Maintain maintained professional growth /ethical standards constructive working relationships with nursing personnel and other stakeholders (multi-disciplinary teamwork). Function as a health care professional according to the applicable norms and standards.",Mrs. Elizabeth Brock Tel: 021 360-4370,Basic R425 qualification (i.e. diploma/degree in nursing) or equivalent qualification that allows registration with the South African Nursing Council (SANC) as a Professional Nurse and Midwife. A post-basic nursing qualification with a duration of at least one year accredited with the SANC in Child Nursing Science.,"Permanent Reference No: MHS837/2025 Khayelitsha District Hospital, Khayelitsha Eastern Sub-structure"
Clinical Nurse Practitioner Grade 1 to 2 (PHC) (OPD:ARV),MHS784/2025 Eerste River Hospital; Chief Directorate: Metro Health Services,Eerste River Hospital; Chief Directorate: Metro Health Services,1/9/2026,"Grade 1: R 476 367 per annum; Grade 2: R 583 989 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Provide and perform clinical nursing practice in accordance with the scope of practice and nursing standards for nursing services. Plan and implement Health Promotion and Prevention activities. Link with community structures and NPO’s. Collect data and submit reports on or before time. Assist with managing human and equipment resources. Ensure an effective administrative service. Facilitate clinical teaching, training and health education. Provision of effective clinical services. Participate in research activities.","Mrs MM Luphondo, Tel no. 021 902 8010/57","Basic R425 qualification (i.e. diploma/degree in nursing) or equivalent qualification that allows registration with the South African Nursing Council (SANC) as Professional Nurse and Midwife. Post-basic nursing qualification, with a duration of at least 1 year accredited with the SANC in the following: Diploma in Clinical Science, Health Assessment, Treatment and Care, accredited with SANC (R48).",Permanent Reference No: MHS784/2025 Eerste River Hospital; Chief Directorate: Metro Health Services
Professional Nurse Grade 1 to 2 (Specialty: Trauma and Emergency) (2 posts),"GRD195/2025 Riversdale Hospital, Garden Route District","Riversdale Hospital, Garden Route District",1/9/2026,"Grade 1: R 476 367 per annum; Grade 2: R 583 989 per annum (Plus non pensionable rural allowance of 8% of your annual basic salary). Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Provide holistic specialized nursing care to patients in a cost-effective manner. Effective implementation of infection control policies and health and safety legislation. Assist with managing human and material resources. Maintain a constructive working relationship with nursing and other stakeholders. Participate in training, development and research within the nursing department. Provision of Support to Nursing Services.","Mr NL Mphato, tel. no. (028) 713 8656",Basic R425 qualification (i. e. diploma/degree in nursing) or equivalent qualification that allows registration with the South African Nursing Council (SANC) as a Professional Nurse and Midwife. Post-basic nursing qualification with a duration of at least one year accredited with the SANC in Medical and Surgical Nursing Science: Critical Care Nursing: General or Medical and Surgical Nursing Science: Critical Care Nursing: Trauma and Emergency.,"Permanent Reference No: GRD195/2025 Riversdale Hospital, Garden Route District"
Senior Administrative Officer: Labour Relations,"HO204/2025 Directorate: Employee Relations, West Coast District Office","Directorate: Employee Relations, West Coast District Office",1/9/2026,"R 397 116 - R 467 790 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Effective and efficient rendering of Labour Relations functions including Investigations and Representing the Employer in Disciplinary matters. Assist with the facilitation, development, implementation and evaluation of LR training. Interpret and apply Labour Relations policies/prescripts and manage/monitor its effective implementation. Effective and efficient management of harassment, misconduct, grievance and dispute cases. Maintain Labour Relations statistics and databases Render support to IMLC’s within District Render an effective administrative support service to the Labour Relations Office.","Mr R Van Staden, tel. no. (022) 814-0331",Appropriate 3-year National Diploma/ Degree within Human Resource Management or Labour Relations.,"Permanent Reference No: HO204/2025 Directorate: Employee Relations, West Coast District Office"
Medical Officer Grade 1 to 3: Surgery (Ophthalmology) (1-Year Contract),GSH354/2025 Groote Schuur Hospital,Groote Schuur Hospital,1/9/2026,"Grade 1: R 1,001,349 per annum, Grade 2: R 1,142,553 per annum, Grade 3: R 1,322,352 per annum A portion of the package can be structured according to the individual's personal needs.",Clinical Service Provision. Management and administration. Research and professional development. To be responsible for consulting room provisioning. Teaching and training.,"Prof N Du Toit, tel. no. (021) 406-6216.",Appropriate qualification that allows registration with the Health Professions Council of South Africa (HPCSA) as a Medical Practitioner.,Permanent Reference No: GSH354/2025 Groote Schuur Hospital
Professional Nurse Grade 1 to 3 (General Nursing: Training: CHP: Community Based Services),MHS824/2025 Southern Western Sub-structure Office,Southern Western Sub-structure Office,1/9/2026,"Grade 1: R 324,384 per annum, Grade 2: R 396,132 per annum, Grade 3: R 476,367 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Planning, co-ordination, implementation, and facilitation of formal training programmes for metro health district staff and NPO Staff: Professional Nurses and Community Health Workers. Facilitate in-service training and orientation programmes. Mentoring and coaching of staff. Skills and competency updates. Monitoring, evaluation and analysis of training programmes/activities/competencies and skills to ensure quality health service delivery. Internal and External Collaboration on training programmes to ensure effective capacity building. Effective Management, co-ordination, administration, and reporting of Teaching Programmes","Southern/Western Sub-structure: Ms Y. Cottee, tel. no. (021) 202-0925",Basic R425 qualification (i.e. diploma/degree in nursing) or equivalent qualification that allows registration with the South African Nursing Council (SANC) as a Professional Nurse and Midwife.,Permanent Reference No: MHS824/2025 Southern Western Sub-structure Office
Deputy Director: Metro Hub Technical Services,"HO205/2025 Directorate: Engineering and Technical Services,","Directorate: Engineering and Technical Services,",1/9/2026,R 896 436 - R 1 055 958 per annum A portion of the package can be structured according to the individual's personal needs.,"Management and provision of an effective, efficient, and affordable Hospital Engineering Services Monitor and evaluate maintenance projects according to the strategy, plans and provide feedback to all stakeholders. Perform inspections and provide transversal technical guidance and advice to Health Facilities within the Province. Implementation of projects and direct technical support to facilities. Finance and Supply Chain Management. People Management.","Ms K Du Toit, email at Karien.DuToit@westerncape.gov.za",An appropriate National Diploma in Engineering (Mechanical /Electrical) or equivalent relevant qualification.,"Permanent Reference No: HO205/2025 Directorate: Engineering and Technical Services,"
Assistant Director: MEC Support (Licensing),HO206/2025 Directorate: Assurance,Directorate: Assurance,1/9/2026,"R 468 459 -R 551 823 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Effectively and assertively implement applicable health and related legislation, and decision-making procedure: Participating, on behalf of the Ministry, in all processes pertaining to legislative changes pertaining to the licensing function. Representing the Ministry in all consultative processes surrounding legal matters brought against the MEC in relation to the licensing function Implement guidance of P.N. 187, P.N. 180 and the Guidelines for Licensing Community Mental Health Facilities. Rendering professional administrative support to the MEC in relation to licensing: Receiving, sorting, filing and redirecting matters received by the MEC in relation to licensing. Monitoring of the document progress for applications received by the MEC. Engage with the administrative staff in the office of the MEC on short and long term professional administrative support services with regards to licensing to: Collaborating on all appropriate functions with the administrative staff in the office of the MEC. Rendering an advisory service to the MEC in relation to licensing matters: Studying licensing documentation received by the MEC. Consulting additional advisors where necessary. Formulating advice for the MEC on all licensing matters. Presenting to the MEC on all licensing matters. Drafting outcome letters for the MEC in relation to applications received. Ensuring that legislative timeframes are met in relation to licensing. Liaison, on behalf of the MEC, between the office of the MEC and Department and/or applicants in the process of considering the applications: Engaging Departmental staff to clarify queries and obtain background information on all licensing matters dealt with in the MEC’s office. Liaison with applicants to obtain additional information in relation to their applications. Liaison with additional advisors in the process of formulating advice in relation to the MEC’s function of considering appeals and exemptions.","Mr N Mavela, tel. no. (021) 483 3316 / 073 875 8343",Appropriate three-year National Diploma (NQF Level 6) in Administration or Finance or Business or Health field (or equivalent).,Permanent Reference No: HO206/2025 Directorate: Assurance
Control Engineering Technician Grade A (Electrical/Mechanical),"HO207/2025 Directorate: Engineering and Technical Services, Professional Engineering Services","Directorate: Engineering and Technical Services, Professional Engineering Services",1/9/2026,Grade A: R 551 493 per annum A portion of the package can be structured according to the individual's personal needs.,,"Mr S Reichert, tel. no. (021) 830 3768",,"Permanent Reference No: HO207/2025 Directorate: Engineering and Technical Services, Professional Engineering Services"
"Candidate Engineer (Two Year Contract, Renewable for a Maximum of Three Years)","HO201/2025 Directorate: Infrastructure Programme Delivery, Head Office, Cape Town","Directorate: Infrastructure Programme Delivery, Head Office, Cape Town",1/9/2026,R 761 157 per annum A portion of the package can be structured according to the individual's personal needs.,Project Management of several Health Facility Projects Programme Management & Reporting Monitoring & Oversight Implementation of projects in accordance with Framework for Infrastructure Delivery and Procurement Management (FIDPM) Stakeholder Engagement Application of Technical Engineering expertise Systems and Reporting improvement and optimization.,"Mr G Graham, email: Gavin.Graham@westerncape.gov.za",Engineering degree (B Eng/ BSC (Eng) or relevant qualification.,"Contract Reference No: HO201/2025 Directorate: Infrastructure Programme Delivery, Head Office, Cape Town"
Medical Officer Grade 1 to 3,"CWD209/2025 Montagu Hospital, Langeberg Sub-district","Montagu Hospital, Langeberg Sub-district",1/9/2026,"Grade 1: R 1,001,349 per annum, Grade 2: R 1,142,553 per annum, Grade 3: R 1,322,352 per annum A portion of the package can be structured according to the individual's personal needs.","Provide quality care to patients at Robertson, Montagu Hospital and surrounding clinics in the Langeberg Sub District and healthcare facilities. Provide Outreach and Support service to PHC facilities in the Langeberg sub-district. Actively participate in skills transfer, training, and academic opportunities relevant to the post. Active involvement in the clinical governance of Langeberg sub-district facilities as required.",Dr A Williams Tel no. (023) 626- 8539,Appropriate qualification that allows registration with the Health Professions Council of South Africa (HPCSA) as a Medical Practitioner.,"Permanent Reference No: CWD209/2025 Montagu Hospital, Langeberg Sub-district"
"Candidate Construction Project Manager (Two Year Contract, Renewable for a maximum of Three Years)","HO202/2025 Directorate: Infrastructure Programme Delivery, Head Office, Cape Town","Directorate: Infrastructure Programme Delivery, Head Office, Cape Town",1/9/2026,R 761 157 per annum A portion of the package can be structured according to the individual's personal needs.,"Leading & Stewarding for Health and Well-being Cultivating people’s centric care and organisational culture fostering collaborative policymaking. and strategy alignment. Building ethical and just decision-making systems, project Implementation and monitoring Strategic support to Whole of Government Agenda Project Management of several Health Facility Projects. Programme Management & Reporting Monitoring and Oversight. Implementation of projects in accordance with Framework for Infrastructure Delivery and Procurement Management (FIDPM). Stakeholder Engagement. Systems and Reporting improvement and optimization.",Mr G. Graham Gavin.Graham@westerncape.gov.za,An Honours degree in the Built Environment field of study: BTech qualification (Built Environment field) with a minimum of one (1) year experience. National higher diploma (Built Environment field) with a minimum of eighteen months experience. National diploma (Built Environment field) with a minimum of two (2) years experience.,"Contract Reference No: HO202/2025 Directorate: Infrastructure Programme Delivery, Head Office, Cape Town"
Social Worker Grade 1 to 3: Production (Mental Health),MHS838/2025 Stikland Hospital,Stikland Hospital,1/9/2026,"Grade 1: R 325 200 - R 382 374 per annum, Gade 2: R 397 119 - R 459 996 per annum, Grade 3: R 477 564 - R 561 378 per annum, Grade 4: R 585 441 - R 725 754 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Provide clinical social work services with regards to the care, support, protection and development of vulnerable individuals, groups, families and communities. Utilise specialist knowledge and skills to conduct psychosocial assessments, counsel individuals and families. Network effectively internally with the multi-disciplinary team as well as with relevant external role players. Conduct appropriate referrals to relevant role players and stake holders. Actively contribute to development of care and safety plans. Deliver accountable services through the application of the Social Work Administrative process. Integrated Programme Facilitation and community work, programme management and community outreach services. Ensure continued professional development by keeping updated with developments in the field.","Ms Trudie Kilian, tel. no. (021) 940 4468",Appropriate qualification as a Social Worker that allows for registration with the South African Council for Social Service Professionals (SACSSP).,Permanent Reference No: MHS838/2025 Stikland Hospital
